Gene Id	Top hits (Family id,e-value,bitscore)
k141_1130_27	PF00827.18,8.9e-85,280.0
k141_1223_11	PF01990.18,1.6e-24,82.9
k141_1223_7	PF01496.20,1.2e-15,53.4
k141_1403_5	PF01090.20,4.7e-56,185.1
k141_1403_6	PF01984.21,1.3e-30,102.8
k141_1403_9	PF01198.20,6.2e-16,55.3
k141_1676_9	PF01864.18,2.6e-63,210.0
k141_1694_1	PF01025.20,1.8e-40,135.2
k141_1694_19	PF07541.13,6.3e-28,94.1
k141_1694_28	PF13656.7,1e-21,73.4
k141_1694_30	PF01866.18,6.3e-89,295.2
k141_1694_32	PF02978.20,6.2e-30,100.7
k141_1826_3	PF01157.19,7.5e-36,118.9
k141_1826_5	PF04919.13,3.9e-73,242.1
k141_1866_15	PF00368.19,7.2e-131,433.3
k141_1920_4	PF04104.15,4.8e-16,55.8
k141_2051_10	PF00410.20,6.7e-29,97.3
k141_2051_12	PF01655.19,3.7e-39,130.4
k141_2051_13	PF01280.21,2.7e-54,180.0
k141_2051_28	PF01000.27,2.1e-29,99.1
k141_2051_31	PF00380.20,3.7e-33,111.5
k141_2051_32	PF01194.18,1.1e-26,89.8
k141_2051_4	PF01868.17,2.8e-24,81.8
k141_2051_8	PF00900.21,4e-28,94.0
k141_2331_12	PF02006.17,2e-75,249.0
k141_2333_67	PF13685.7,3.7e-76,253.1
k141_424_6	PF01269.18,7e-92,303.5
k141_424_8	PF01798.19,1.6e-58,194.8
k141_461_4	PF01015.19,1.5e-68,227.1
k141_521_6	PF00466.21,5.9e-23,77.8
k141_521_7	PF00687.22,1.8e-44,148.8
k141_852_12	PF01191.20,3.2e-32,107.1
k141_948_13	PF01282.20,2.4e-24,82.0
k141_948_14	PF04019.13,8.4e-39,128.8
k141_948_20	PF01092.20,3.9e-43,143.3
k141_948_24	PF01200.19,2.5e-32,107.6
