#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
k141_1759_35         -          TIGR00021            TIGR00021    1.7e-76  252.5   0.3     2e-76  252.3   0.3   1.0   1   0   0   1   1   1   1 # 35137 # 35835 # 1 # ID=35_35;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.504
k141_2342_42         -          TIGR00037            TIGR00037    7.2e-47  154.6   0.3   7.7e-47  154.5   0.3   1.0   1   0   0   1   1   1   1 # 39452 # 39829 # -1 # ID=49_42;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.500
k141_855_54          -          TIGR00042            TIGR00042    1.8e-49  163.7   0.0   2.2e-49  163.4   0.0   1.0   1   0   0   1   1   1   1 # 49956 # 50513 # 1 # ID=19_54;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.507
k141_1935_4          -          TIGR00064            TIGR00064   8.2e-100  329.7  10.2   1.3e-99  329.1  10.2   1.3   1   0   0   1   1   1   1 # 3679 # 4821 # -1 # ID=39_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.497
k141_1227_25         -          TIGR00111            TIGR00111    2.5e-86  286.2   0.4   2.8e-86  286.1   0.4   1.0   1   0   0   1   1   1   1 # 22742 # 23782 # -1 # ID=23_25;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.540
k141_2348_13         -          TIGR00134            TIGR00134   5.7e-209  691.4   2.3  6.5e-209  691.2   2.3   1.0   1   0   0   1   1   1   1 # 9494 # 11356 # -1 # ID=52_13;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.531
k141_1471_18         -          TIGR00240            TIGR00240    3.8e-47  155.9   3.8   4.7e-47  155.6   3.8   1.0   1   0   0   1   1   1   1 # 15136 # 15609 # -1 # ID=29_18;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.485
k141_372_9           -          TIGR00264            TIGR00264    4.5e-29   97.2   1.8   5.1e-29   97.0   1.8   1.0   1   0   0   1   1   1   1 # 7811 # 8164 # 1 # ID=5_9;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.525
k141_1990_35         -          TIGR00270            TIGR00270      1e-30  102.6   1.1   1.3e-30  102.3   1.1   1.1   1   0   0   1   1   1   1 # 30274 # 30780 # -1 # ID=40_35;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.521
k141_2330_41         -          TIGR00279            TIGR00279    4.9e-62  204.7   0.6   5.4e-62  204.6   0.6   1.0   1   0   0   1   1   1   1 # 46782 # 47297 # 1 # ID=47_41;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.550
